SMILE	Compound_IDs	Class
C#CC1=CN=C2C(C(N)=O)=CC=CC2=C1	50255268, CHEMBL501330	0
C#CCOC1=CC=C(C2=NC3=C(C(N)=O)C=CC=C3N2)C=C1	50446670, CHEMBL3113566	1
C#CCOC1=CC=C(C2=NC3=CC=CC4=C3N2CCNC4=O)C=C1	50446667, CHEMBL3113569	1
C/C(=C/C(=O)NC1=CC=CC(C(N)=O)=C1)C(=O)O	CHEMBL3414764, 50079614	0
C/C(=C/C(=O)O)C(=O)NC1=CC=CC(C(N)=O)=C1	CHEMBL3414763, 50079613	0
C/C(=N/O)C1=C(C2=CC=C(F)C=C2)N2CCNC(=O)C3=C2C1=CC=C3	CHEMBL362322	1
C/C(=N\O)C1=C(C2=CC=C(F)C=C2)N2CCNC(=O)C3=C2C1=CC=C3	CHEMBL2204335	1
C/C(=N\O)C1=CN2CCNC(=O)C3=C2C1=CC=C3	CHEMBL189466	1
C=C(C)CCN1CCN2C(=NC3=CC=CC4=C3C2=NNC4=O)C1	293925	1
C=CC1=CN=C2C(C(N)=O)=CC=CC2=C1	50255270, CHEMBL481793	0
C=CCC1(C(=O)N2CCN(C(=O)C3=CC(CC4=NNC(=O)C(C)=C4C)=CC=C3F)CC2)CCCN1	CHEMBL590632, 50309249	1
C=CCC1=CC=C(O)C(C2=CC(CC=C)=CC(O)=C2O)=C1	50462626, CHEMBL4127893	0
C=CCC1C2=NN=C(C(F)(F)F)N2C(C)CN1C(=O)C1=CC(CC2=NNC(=O)C3=CC=CC=C23)=CC=C1F	206065	1
C=CCC1C2=NN=C(C(F)(F)F)N2CCN1C(=O)C1=CC(CC2=NNC(=O)C3=CC=CC=C23)=CC=C1F	206060	1
C=CCN1CCCC(C(=O)N2CCN(C(=O)CCC3=NC(=O)C4=CC=CC=C4N3)CC2)C1	CHEMBL3105408, 50445858	0
C=CCOC(=O)N1CCCC(C(=O)N2CCN(C(=O)CCC3=NC(=O)C4=CC=CC=C4N3)CC2)C1	CHEMBL3105406, 50445860	0
C=CCOC1=CC(C2=NC3=C(C(N)=O)C=CC=C3N2)=CC=C1OC	50093380, CHEMBL134116	1
C=CCSC1=NN=C(C2=CC3=CC=CC=C3N2)N1C1=CC=CC=C1	CHEMBL4438977, 50515713	0
C=CCSC1=NN=C(C2=CC3=CC=CC=C3N2CC=C)N1C1=CC=CC=C1	CHEMBL4476017, 50515710	0
CC#CC1=CN=C2C(C(N)=O)=CC=CC2=C1	CHEMBL504903, 50255325	0
CC#CCOC1=CC=C(C(=O)C2CCN(CC(=O)N(CC3=NC(=O)C4=C(CCOC4)N3)CC3CC3)CC2)C=C1	CHEMBL3955426	0
CC(=O)C1=C(C2=CC=C(F)C=C2)N2CCNC(=O)C3=C2C1=CC=C3	50154720, CHEMBL362516	0
CC(=O)C1=CC(C#N)=CC=C1N1CCN(CC2=CC=C3C4=C(CCCN4)C(=O)NC3=C2)CC1	419718	1
CC(=O)C1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3980930, 214163	1
CC(=O)C1=CC=C(N2CCN(C(=O)COC3=CC=CC=C3C(N)=O)CC2)C(F)=C1	CHEMBL3105432, 50445828	0
CC(=O)C1=CC=C(NC(=O)CCN2C(=O)NC(=O)C3=CC=CC=C32)C=C1	CHEMBL3105409, 50445855	1
CC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50197610, CHEMBL395864	1
CC(=O)C1=CC=CN=C1N1CCP(=O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538073	1
CC(=O)C1=CN2CCNC(=O)C3=C2C1=CC=C3	50154749, CHEMBL187667	0
CC(=O)CCC(=O)NC1=CC=CC(C(N)=O)=C1	CHEMBL3414776, 50079619	0
CC(=O)CCCC(=O)NC1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214385, CHEMBL3937647	1
CC(=O)CCCC(=O)NC1=CC(CC2=NNC(=O)C3=C2NCCC3)=CC=C1F	50387923, CHEMBL2058686	1
CC(=O)CCCC(=O)NC1=CC=CC(C(N)=O)=C1	CHEMBL3414777, 50079618	0
CC(=O)N(C)C1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)C1	CHEMBL3968163, 214488	1
CC(=O)N1CCC(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)CC1	CHEMBL3928161, 214093	0
CC(=O)N1CCC(C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	27126, CHEMBL460268	1
CC(=O)N1CCC(N2CC3=CC=CC(C(N)=O)=C3C2=O)CC1	50113456, CHEMBL3605987	0
CC(=O)N1CCCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL596721, 50309388	1
CC(=O)N1CCCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL523879, 27540	1
CC(=O)N1CCCN(CC2=NC3=C4C(=CC=CC4=N2)C(=O)NN3)CC1	CHEMBL3644584, 139655	1
CC(=O)N1CCC[C@H]1C(=O)N1CCC2=CC=CC3=C2C1CNC3=O	50306261, CHEMBL593133	1
CC(=O)N1CCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL602535, 50309385	1
CC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)CC1	CHEMBL3889630, 213913	1
CC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL2058918, 50387937	1
CC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC(F)=C2F)CC1	CHEMBL4170845, 50276693	1
CC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL495322, 27564	1
CC(=O)N1CCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)CC1	CHEMBL3959527, 213912	1
CC(=O)N1CCN(C(=O)C2=CSC(CC3=NNC(=O)C4=CC=CC=C34)=C2)CC1	CHEMBL3317899, 50055883	0
CC(=O)N1CCN(CC2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=CC3=O)CC1	CHEMBL4863798, 50579030	1
CC(=O)NC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3904262, 214171	1
CC(=O)NC1=CC=C(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)C=C1	CHEMBL3593986	0
CC(=O)NC1=CC=C(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)C=N1	CHEMBL3593989, 50096145	1
CC(=O)NC1=CC=C(C2NC3=CC(F)=CC4=C3C(=NNC4=O)C2C2=NC=NN2C)C=C1	CHEMBL3764951, 50145144	1
CC(=O)NC1=CC=C(COC2=CC=C(C3=CC=C(C4=NC5=C(C(=O)O)C=C(C)C=C5N4)C=C3)C=C2)C=C1	CHEMBL3593806	0
CC(=O)NC1=CC=C(NC(=O)CCN2C(=O)NC(=O)C3=CC=CC=C32)C=C1	CHEMBL3105417, 50445844	0
CC(=O)NC1=CC=CC(C2=CC(C(C)CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	214233, CHEMBL3896329	0
CC(=O)NC1=CC=CC(C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	CHEMBL3920506, 214185	1
CC(=O)NC1=CC=CC(C2=CC(CCC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	CHEMBL3934312, 214211	0
CC(=O)NC1=CC=CC(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)=C1	CHEMBL3593985, 50096142	0
CC(=O)NC1=CC=CC(C2=CC=CC(C(C)C3=NNC(=O)C4=C3CCCC4)=C2)=C1	214223, CHEMBL3973398	1
CC(=O)NC1=CC=CC(C2=CC=CC(C(C)CC3=NNC(=O)C4=C3CCCC4)=C2)=C1	214221, CHEMBL3962419	0
CC(=O)NC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	CHEMBL381652, 50165494	1
CC(=O)NC1=CC=CC=C1C1=CC=C(C2=NC3=C(C(N)=O)C=CC=C3N2)C=C1	CHEMBL3593984, 50096207	0
CC(=O)NC1=CC=CC=C1COC1=CC=C(C2=CC=C(C3=NC4=C(C(=O)O)C=C(C)C=C4N3)C=C2)C=C1	CHEMBL3593804	0
CC(=O)NC1=CN=C(N2CCN(C3=NC4=C(C(N)=O)C=CC=C4N3)CC2)N=C1	332711	0
CC(=O)NC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL245735, 50197586	1
CC(=O)NCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL246396, 50197607	1
CC(=O)NNC1=CC2=C3C(=C4CCCCCC4=NC3=C1)NNC2=O	224638, CHEMBL3954713	1
